time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,red,green,blue,alpha,fan
2021-05-17 15:35:30.944483,24.00,100895.18,39.95,35.85,-0.30,-0.98,-9.70,0.09,-0.12,-0.09,908,1,2,1,3,-1
2021-05-17 15:35:31.424555,24.00,100894.68,39.95,35.89,-0.30,-0.94,-9.74,0.09,-0.12,-0.09,125,1,1,1,3,-1
2021-05-17 15:35:31.904623,24.01,100897.38,39.96,35.66,-0.32,-1.06,-9.64,0.09,-0.13,-0.10,827,1,1,1,3,-1
2021-05-17 15:35:32.384560,24.00,100896.02,39.97,35.78,-0.59,-0.68,-9.87,0.09,-0.12,-0.09,707,1,1,1,3,-1
2021-05-17 15:35:32.864559,24.01,100899.62,40.05,35.48,0.17,-2.50,-8.52,0.04,0.18,0.39,604,1,1,1,3,-1
2021-05-17 15:35:33.343863,24.00,100899.80,40.16,35.43,-0.50,-0.92,-9.76,0.09,-0.12,-0.09,381,1,1,1,3,-1
2021-05-17 15:35:33.824594,24.00,100902.14,40.33,35.27,-0.56,-0.98,-9.66,0.09,-0.12,-0.09,381,1,1,1,3,-1
2021-05-17 15:35:34.304597,24.01,100901.95,40.42,35.28,-0.51,-0.91,-9.73,0.09,-0.12,-0.09,115,1,1,1,3,-1
2021-05-17 15:35:34.784595,24.01,100900.56,40.61,35.40,-0.54,-0.89,-9.74,0.09,-0.12,-0.09,109,1,1,1,3,-1
2021-05-17 15:35:35.264607,24.00,100901.64,40.70,35.31,-0.51,-0.91,-9.73,0.09,-0.12,-0.09,341,1,1,1,3,-1
2021-05-17 15:35:35.744640,24.01,100901.40,40.76,35.33,-0.50,-0.92,-9.71,0.09,-0.12,-0.09,169,1,1,1,3,-1
2021-05-17 15:35:36.224673,24.00,100898.12,40.83,35.60,-0.49,-0.92,-9.71,0.09,-0.12,-0.09,92,1,1,1,3,-1
2021-05-17 15:35:36.704678,24.01,100901.45,40.87,35.32,-0.53,-0.89,-9.77,0.09,-0.12,-0.09,88,1,1,1,3,-1
2021-05-17 15:35:37.184633,24.01,100898.89,40.90,35.69,-0.50,-0.91,-9.73,0.09,-0.12,-0.09,92,1,1,1,3,-1
2021-05-17 15:35:37.664754,24.00,100897.45,40.84,35.66,-0.16,-1.77,-9.50,0.10,-0.11,-0.34,133,1,1,1,3,-1
2021-05-17 15:35:38.144701,24.00,100901.98,40.77,35.28,-0.51,-0.95,-9.70,0.10,-0.12,-0.09,137,1,1,1,3,-1
2021-05-17 15:35:38.624675,24.00,100896.30,40.85,35.75,-0.54,-0.91,-9.71,0.09,-0.12,-0.09,161,1,1,1,3,-1
2021-05-17 15:35:39.104727,24.00,100897.47,40.99,35.66,-0.55,-0.90,-9.72,0.09,-0.12,-0.09,214,1,1,1,3,-1
2021-05-17 15:35:39.584686,24.00,100899.31,41.26,35.50,-0.56,-0.91,-9.69,0.09,-0.12,-0.09,103,1,1,1,3,-1
2021-05-17 15:35:40.064764,24.00,100900.65,41.51,35.39,-0.58,-0.85,-9.72,0.09,-0.12,-0.09,92,1,1,1,3,-1
2021-05-17 15:35:40.544717,24.00,100898.29,41.73,35.59,-0.50,-0.94,-9.71,0.09,-0.12,-0.09,331,1,1,1,3,-1
2021-05-17 15:35:41.024728,24.00,100899.30,41.98,35.64,-0.59,-0.91,-9.72,0.09,-0.12,-0.09,104,1,1,1,3,-1
2021-05-17 15:35:41.503824,24.00,100898.80,42.14,35.54,-0.53,-0.90,-9.71,0.09,-0.12,-0.09,84,1,1,1,3,-1
2021-05-17 15:35:41.984801,24.00,100899.81,42.31,35.46,-0.51,-0.90,-9.68,0.09,-0.12,-0.09,320,1,1,1,3,-1
2021-05-17 15:35:42.464775,24.00,100901.55,42.45,35.32,-0.52,-0.89,-9.69,0.09,-0.12,-0.09,500,1,1,1,3,-1
2021-05-17 15:35:42.944777,24.00,100899.98,42.48,35.45,-0.55,-0.89,-9.68,0.09,-0.12,-0.09,384,1,1,1,3,-1
2021-05-17 15:35:43.424703,24.00,100900.04,42.48,35.44,-0.54,-0.91,-9.74,0.09,-0.12,-0.09,155,1,1,1,3,-1
2021-05-17 15:35:43.905036,24.00,100901.47,42.50,35.32,-0.52,-0.91,-9.73,0.09,-0.12,-0.09,100,1,1,1,3,-1
2021-05-17 15:35:44.384784,24.00,100901.15,42.47,35.35,-0.54,-0.92,-9.72,0.09,-0.12,-0.09,124,1,1,1,3,-1
2021-05-17 15:35:44.865087,24.00,100900.54,42.47,35.40,-0.52,-0.89,-9.71,0.09,-0.12,-0.09,120,1,1,1,3,-1
2021-05-17 15:35:45.343910,24.00,100900.20,42.46,35.43,-0.49,-0.88,-9.71,0.09,-0.12,-0.09,126,1,2,2,4,-1
2021-05-17 15:35:45.824806,24.00,100899.46,42.47,35.49,-0.57,-0.89,-9.70,0.09,-0.12,-0.09,133,2,2,2,4,-1
2021-05-17 15:35:46.304678,24.00,100897.38,42.43,35.66,-0.55,-0.90,-9.74,0.09,-0.12,-0.09,111,2,2,2,4,-1
2021-05-17 15:35:46.785151,24.00,100901.66,42.40,35.31,-0.52,-0.89,-9.69,0.09,-0.12,-0.09,174,2,2,2,4,-1
2021-05-17 15:35:47.264833,24.00,100901.89,42.38,35.29,-0.52,-0.93,-9.71,0.09,-0.12,-0.09,168,2,2,2,4,-1
2021-05-17 15:35:47.744854,24.00,100901.72,42.30,35.30,-0.55,-0.92,-9.69,0.09,-0.12,-0.09,187,2,2,2,4,-1
2021-05-17 15:35:48.224808,23.99,100896.27,42.28,35.76,-0.57,-0.91,-9.75,0.09,-0.12,-0.09,116,2,2,2,4,-1
2021-05-17 15:35:48.704907,23.99,100898.56,42.13,35.56,-0.53,-0.90,-9.74,0.09,-0.11,-0.09,103,2,2,2,4,-1
2021-05-17 15:35:49.184891,23.99,100896.94,42.06,35.70,-0.57,-0.89,-9.76,0.09,-0.12,-0.09,104,2,2,2,4,-1
2021-05-17 15:35:49.665413,23.99,100900.64,41.90,35.39,-0.53,-0.88,-9.69,0.09,-0.12,-0.09,158,2,2,2,4,-1
2021-05-17 15:35:50.144907,23.99,100900.05,41.74,35.44,-0.55,-0.90,-9.71,0.09,-0.12,-0.09,344,2,2,2,4,-1
2021-05-17 15:35:50.624955,23.99,100899.80,41.63,35.46,-0.53,-0.92,-9.71,0.09,-0.12,-0.09,401,2,2,2,4,-1
